Código,Instituição executora,Estado,Estratégia do trecho,Data,Ponto - Lat,Ponto - Long,Espécies - Classe,Espécies - Ordem,Espécies - Espécie,Espécie ameaçada,Caracterização do ambiente,Condição,Cidade
190772,Ambipar Response,Espírito Santo,Acionamento,2022-06-10,-20.823.677,-406.156.624,Aves,Charadriiformes,Thalasseus acuflavidus,Não,Arenoso,Vivo,Anchieta
190766,Ambipar Response,Rio de Janeiro,Diário,2022-06-11,-21.463.405,-4.103.959,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,São Francisco de Itabapoana
190765,Ambipar Response,Rio de Janeiro,Diário,2022-06-11,-214.004.383,-4.099.821,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,São Francisco de Itabapoana
190764,Ambipar Response,Rio de Janeiro,Diário,2022-06-11,-214.267.443,-410.115.666,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,São Francisco de Itabapoana
190755,Ambipar Response,Espírito Santo,Diário,2022-06-10,-203.273,-402.906,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Vila Velha
190749,Ambipar Response,Espírito Santo,Diário,2022-06-10,-21.157,-408.934,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
190748,Ambipar Response,Espírito Santo,Diário,2022-06-10,-209.352,-408.003,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Itapemirim
190747,Ambipar Response,Espírito Santo,Diário,2022-06-06,-212.374,-409.538,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Presidente Kennedy
190745,Ambipar Response,Espírito Santo,Diário,2022-06-06,-211.573,-408.939,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
190739,Ambipar Response,Espírito Santo,Diário,2022-06-06,-210.366,-408.175,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
190731,Ambipar Response,Rio de Janeiro,Diário,2022-06-10,-215.591.517,-410.612.233,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,São Francisco de Itabapoana
190730,Ambipar Response,Rio de Janeiro,Diário,2022-06-10,-213.268.582,-409.629.352,Reptilia,Testudines,Lepidochelys olivacea,Não,Arenoso,Morto,São Francisco de Itabapoana
190729,Ambipar Response,Rio de Janeiro,Diário,2022-06-10,-213.702.131,-409.679.832,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,São Francisco de Itabapoana
190728,Ambipar Response,Espírito Santo,Diário,2022-06-08,-208.668,-407.592,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Piuma
190724,Ambipar Response,Espírito Santo,Diário,2022-06-08,-208.332,-406.979,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Anchieta
190719,Ambipar Response,Espírito Santo,Diário,2022-06-04,-205.939,-404.038,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Guarapari
190713,Ambipar Response,Rio de Janeiro,Diário,2022-06-09,-225.264,-419.223,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Rio das Ostras
190699,Ambipar Response,Espírito Santo,Acionamento,2022-06-10,-203.185,-402.966,Aves,Charadriiformes,Thalasseus acuflavidus,Não,Arenoso,Vivo,Vitória
190697,Ambipar Response,Espírito Santo,Diário,2022-06-04,-20.37,-403.018,Reptilia,Testudines,Lepidochelys olivacea,Não,Arenoso,Morto,Vila Velha
190687,Ambipar Response,Espírito Santo,Diário,2022-06-04,-207.055,-405.152,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Guarapari
