Código,Instituição executora,Estado,Cidade,Praia,Estratégia do trecho,Maré inicial,Data,Ponto - Lat,Ponto - Long,Espécies - Classe,Espécies - Ordem,Espécies - Espécie,Espécie ameaçada,Caracterização do ambiente,Condição
137581,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazante,2020-09-23,-248.003.998,-476.267.357,Aves,Sphenisciformes,Spheniscus magellanicus,Não,Arenoso,Morto
137580,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazante,2020-09-23,-248.202.338,-476.536.318,Aves,Sphenisciformes,Spheniscus magellanicus,Não,Arenoso,Morto
137579,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazante,2020-09-23,-248.202.338,-476.536.318,Aves,Sphenisciformes,Spheniscus magellanicus,Não,Arenoso,Morto
137577,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazante,2020-09-23,-248.602.021,-477.064.307,Aves,Procellariiformes,Thalassarche chlororhynchos,Sim,Arenoso,Morto
137576,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazante,2020-09-23,-248.978.244,-477.540.405,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
137575,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazante,2020-09-23,-249.069.216,-477.654.839,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
137574,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazante,2020-09-23,-249.320.077,-477.959.797,Mammalia,Cetacea,Pontoporia blainvillei,Sim,Arenoso,Morto
137567,Trecho 10,São Paulo,Ubatuba,Toninhas,Diário,Vazante,2020-09-23,-234.921.385,-450.735.569,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
137563,Trecho 09,São Paulo,Guarujá,Pereque,Diário,Vazia,2020-09-23,-239.286.832,-461.807.338,Aves,Sphenisciformes,Spheniscus magellanicus,Não,Arenoso,Morto
137559,Trecho 09,São Paulo,Guarujá,Mar Casado/Pernambuco,Diário,Vazante,2020-09-23,-239.648.994,-46.185.243,Aves,Procellariiformes,Puffinus puffinus,Não,Arenoso,Morto
137544,Trecho 09,São Paulo,Bertioga,Itaguaré/Guaratuba,Diário,Vazante,2020-09-23,-237.858.306,-459.789.257,Aves,Procellariiformes,Puffinus puffinus,Não,Arenoso,Morto
137543,Trecho 09,São Paulo,Bertioga,Itaguaré/Guaratuba,Diário,Vazante,2020-09-23,-237.870.421,-459.816.139,Aves,Sphenisciformes,Spheniscus magellanicus,Não,Arenoso,Morto
137539,Trecho 09,São Paulo,"Bertioga,São Sebastião",Boracéia,Diário,Vazante,2020-09-23,-237.603.174,-458.751.887,Aves,Sphenisciformes,Spheniscus magellanicus,Não,Arenoso,Morto
137524,Trecho 08,São Paulo,Itanhaém,Itanhaém,Diário,Enchente,2020-09-23,-241.546.205,-467.295.303,Aves,Sphenisciformes,Spheniscus magellanicus,Não,Arenoso,Vivo
137515,Trecho 09,São Paulo,Guarujá,Enseada-Guarujá,Diário,Cheia,2020-09-23,-239.875.555,-462.315.461,Aves,Sphenisciformes,Spheniscus magellanicus,Não,Arenoso,Morto
137514,Trecho 10,São Paulo,Ilhabela,Santa Tereza,Diário,Vazante,2020-09-22,-237.742.333,-453.541.307,Aves,Suliformes,Sula leucogaster,Não,Água,Vivo
